Total/Rural/Urban,Area Name,Religious Community,Age-Group,Total Population,Population Males,Population Females,Total Main Workers,Main Workers Male,Main Workers Female,Total Marginal Workers,Marginal Workers Male,Marginal Workers Female,MW Available Total,MW Available Males,MW Available Females,Total Non Workers,Non Workers Male,Non Workers Female,NW Available Total,NW Available Males,NW Available Females
Rural,State - PUNJAB,Other religious communities,15-19,723,388,335,97,71,26,63,37,26,34,25,9,563,280,283,106,54,52
Rural,State - PUNJAB,Other religious communities,20-24,613,307,306,238,191,47,67,45,22,34,27,7,308,71,237,89,41,48
Rural,State - PUNJAB,Other religious communities,25-29,559,289,270,254,218,36,70,41,29,37,29,8,235,30,205,65,20,45
Rural,State - PUNJAB,Other religious communities,30-34,495,244,251,238,202,36,61,29,32,31,22,9,196,13,183,37,6,31
Rural,State - PUNJAB,Other religious communities,35-39,466,240,226,263,203,60,53,28,25,27,19,8,150,9,141,14,1,13
Rural,State - PUNJAB,Other religious communities,40-49,733,372,361,392,318,74,73,39,34,29,16,13,268,15,253,36,2,34
Rural,State - PUNJAB,Other religious communities,50-59,440,232,208,217,182,35,49,27,22,18,14,4,174,23,151,12,4,8
Rural,State - PUNJAB,Other religious communities,60-69,435,213,222,143,119,24,35,21,14,8,7,1,257,73,184,17,5,12
Rural,State - PUNJAB,Other religious communities,70-79,178,95,83,44,38,6,14,11,3,2,2,0,120,46,74,5,3,2
Rural,State - PUNJAB,Other religious communities,80+,82,42,40,15,11,4,4,4,0,2,2,0,63,27,36,0,0,0
Rural,State - PUNJAB,Other religious communities,Age not stated,13,7,6,4,3,1,1,0,1,0,0,0,8,4,4,0,0,0
Rural,State - PUNJAB,Other religious communities,15-59,4029,2072,1957,1699,1385,314,436,246,190,210,152,58,1894,441,1453,359,128,231
Rural,State - PUNJAB,Other religious communities,60+,695,350,345,202,168,34,53,36,17,12,11,1,440,146,294,22,8,14
Urban,State - PUNJAB,All religious communities,Total,10399146,5545989,4853157,3343912,2846792,497120,374251,231546,142705,160231,105438,54793,6680983,2467651,4213332,570114,240807,329307
Urban,State - PUNJAB,All religious communities,5-9,860997,473777,387220,9324,5591,3733,15050,8405,6645,3770,2140,1630,836623,459781,376842,8385,4688,3697
Urban,State - PUNJAB,All religious communities,10-14,914574,514164,400410,24075,17749,6326,22309,13097,9212,7080,4358,2722,868190,483318,384872,18434,11272,7162
Urban,State - PUNJAB,All religious communities,15-19,1003256,566349,436907,132815,113079,19736,43238,28932,14306,22888,16012,6876,827203,424338,402865,127927,78923,49004
Urban,State - PUNJAB,All religious communities,20-24,1069803,576792,493011,352132,302634,49498,58714,39101,19613,33363,22710,10653,658957,235057,423900,164968,81605,83363
Urban,State - PUNJAB,All religious communities,25-29,1008405,532209,476196,498149,423656,74493,50425,32025,18400,25583,16850,8733,459831,76528,383303,96848,31168,65680
Urban,State - PUNJAB,All religious communities,30-34,853033,446265,406768,461233,391537,69696,38632,23252,15380,16943,10686,6257,353168,31476,321692,47721,9771,37950
Urban,State - PUNJAB,All religious communities,35-39,786229,406613,379616,435075,365395,69680,34379,19896,14483,14182,8806,5376,316775,21322,295453,33814,5048,28766
Urban,State - PUNJAB,All religious communities,40-49,1308654,675854,632800,720830,609900,110930,52866,30733,22133,19520,12395,7125,534958,35221,499737,38593,6514,32079
Urban,State - PUNJAB,All religious communities,50-59,892016,467850,424166,464954,400030,64924,30380,18293,12087,9335,6374,2961,396682,49527,347155,17521,4909,12612
Urban,State - PUNJAB,All religious communities,60-69,565338,287640,277698,176710,156572,20138,18636,11702,6934,5276,3556,1720,369992,119366,250626,11701,4978,6723
Urban,State - PUNJAB,All religious communities,70-79,238049,121838,116211,50403,45051,5352,6520,4218,2302,1512,1059,453,181126,72569,108557,2847,1339,1508
Urban,State - PUNJAB,All religious communities,80+,104720,50227,54493,15150,13074,2076,2547,1547,1000,608,386,222,87023,35606,51417,977,440,537
Urban,State - PUNJAB,All religious communities,Age not stated,11912,6439,5473,3062,2524,538,555,345,210,171,106,65,8295,3570,4725,378,152,226
Urban,State - PUNJAB,All religious communities,15-59,6921396,3671932,3249464,3065188,2606231,458957,308634,192232,116402,141814,93833,47981,3547574,873469,2674105,527392,217938,309454
Urban,State - PUNJAB,All religious communities,60+,908107,459705,448402,242263,214697,27566,27703,17467,10236,7396,5001,2395,638141,227541,410600,15525,6757,8768
Urban,State - PUNJAB,Hindu,Total,6282072,3378052,2904020,2067675,1768521,299154,220143,137360,82783,93974,62319,31655,3994254,1472171,2522083,333674,136873,196801
Urban,State - PUNJAB,Hindu,5-9,541020,296450,244570,5901,3475,2426,9209,5137,4072,2393,1340,1053,525910,287838,238072,5007,2777,2230
Urban,State - PUNJAB,Hindu,10-14,556208,310745,245463,15099,11009,4090,13247,7770,5477,4253,2604,1649,527862,291966,235896,10789,6548,4241
Urban,State - PUNJAB,Hindu,15-19,593574,337246,256328,83710,71491,12219,25085,16947,8138,12981,9140,3841,484779,248808,235971,72958,44891,28067
Urban,State - PUNJAB,Hindu,20-24,646146,352091,294055,223516,192543,30973,34429,23018,11411,19280,13125,6155,388201,136530,251671,95906,46583,49323
Urban,State - PUNJAB,Hindu,25-29,631427,337855,293572,320471,274586,45885,30588,19630,10958,15472,10307,5165,280368,43639,236729,57987,17647,40340
Urban,State - PUNJAB,Hindu,30-34,535161,284435,250726,295197,252176,43021,23495,14275,9220,10213,6548,3665,216469,17984,198485,29273,5436,23837
Urban,State - PUNJAB,Hindu,35-39,485028,256212,228816,274443,231796,42647,20854,12242,8612,8611,5444,3167,189731,12174,177557,20520,2852,17668
Urban,State - PUNJAB,Hindu,40-49,780630,412139,368491,438764,373715,65049,30962,18457,12505,11424,7464,3960,310904,19967,290937,22616,3714,18902
Urban,State - PUNJAB,Hindu,50-59,515468,274282,241186,273839,236953,36886,17152,10409,6743,5284,3640,1644,224477,26920,197557,10026,2754,7272
Urban,State - PUNJAB,Hindu,60-69,310794,157902,152892,99109,87627,11482,10017,6266,3751,2835,1902,933,201668,64009,137659,6263,2628,3635
Urban,State - PUNJAB,Hindu,70-79,129250,64582,64668,27599,24632,2967,3425,2193,1232,799,541,258,98226,37757,60469,1590,742,848
Urban,State - PUNJAB,Hindu,80+,55286,25340,29946,8291,7089,1202,1365,823,542,341,210,131,45630,17428,28202,543,230,313
Urban,State - PUNJAB,Hindu,Age not stated,6719,3655,3064,1736,1429,307,315,193,122,88,54,34,4668,2033,2635,196,71,125
Urban,State - PUNJAB,Hindu,15-59,4187434,2254260,1933174,1909940,1633260,276680,182565,114978,67587,83265,55668,27597,2094929,506022,1588907,309286,123877,185409
Urban,State - PUNJAB,Hindu,60+,495330,247824,247506,134999,119348,15651,14807,9282,5525,3975,2653,1322,345524,119194,226330,8396,3600,4796
Urban,State - PUNJAB,Muslim,Total,256664,140710,115954,82521,74082,8439,8749,5715,3034,3304,2394,910,165394,60913,104481,9634,4327,5307
Urban,State - PUNJAB,Muslim,5-9,28347,14815,13532,430,263,167,331,181,150,87,51,36,27586,14371,13215,243,133,110
Urban,State - PUNJAB,Muslim,10-14,27820,15214,12606,1426,1133,293,582,342,240,197,117,80,25812,13739,12073,588,380,208
Urban,State - PUNJAB,Muslim,15-19,28239,16047,12192,7074,6251,823,1166,802,364,505,387,118,19999,8994,11005,2570,1625,945
Urban,State - PUNJAB,Muslim,20-24,29017,16347,12670,12424,11326,1098,1451,1020,431,672,492,180,15142,4001,11141,2500,1236,1264
Urban,State - PUNJAB,Muslim,25-29,25877,14369,11508,13539,12269,1270,1223,816,407,491,364,127,11115,1284,9831,1462,469,993
Urban,State - PUNJAB,Muslim,30-34,21249,11776,9473,11772,10584,1188,967,605,362,356,249,107,8510,587,7923,806,147,659
Urban,State - PUNJAB,Muslim,35-39,18325,10231,8094,10415,9307,1108,846,519,327,297,210,87,7064,405,6659,557,80,477
Urban,State - PUNJAB,Muslim,40-49,25467,14387,11080,14445,13014,1431,1159,750,409,387,286,101,9863,623,9240,527,112,415
Urban,State - PUNJAB,Muslim,50-59,12876,7145,5731,6767,6117,650,554,347,207,171,127,44,5555,681,4874,204,77,127
Urban,State - PUNJAB,Muslim,60-69,7935,4215,3720,3006,2729,277,314,221,93,99,73,26,4615,1265,3350,130,47,83
Urban,State - PUNJAB,Muslim,70-79,3315,1761,1554,857,783,74,95,70,25,28,26,2,2363,908,1455,27,13,14
Urban,State - PUNJAB,Muslim,80+,1784,898,886,289,244,45,51,34,17,12,10,2,1444,620,824,17,8,9
Urban,State - PUNJAB,Muslim,Age not stated,279,157,122,77,62,15,10,8,2,2,2,0,192,87,105,3,0,3
Urban,State - PUNJAB,Muslim,15-59,161050,90302,70748,76436,68868,7568,7366,4859,2507,2879,2115,764,77248,16575,60673,8626,3746,4880
Urban,State - PUNJAB,Muslim,60+,13034,6874,6160,4152,3756,396,460,325,135,139,109,30,8422,2793,5629,174,68,106
Urban,State - PUNJAB,Christian,Total,105253,55156,50097,34705,27088,7617,4702,2986,1716,2250,1483,767,65846,25082,40764,6545,2662,3883
Urban,State - PUNJAB,Christian,5-9,9296,5059,4237,88,57,31,116,72,44,27,18,9,9092,4930,4162,72,34,38
Urban,State - PUNJAB,Christian,10-14,9797,5363,4434,288,205,83,248,146,102,93,55,38,9261,5012,4249,202,131,71
Urban,State - PUNJAB,Christian,15-19,10982,5800,5182,1544,1213,331,569,369,200,330,237,93,8869,4218,4651,1566,943,623
Urban,State - PUNJAB,Christian,20-24,11612,5960,5652,3912,3121,791,788,549,239,481,344,137,6912,2290,4622,1863,845,1018
Urban,State - PUNJAB,Christian,25-29,10353,5471,4882,5270,4256,1014,627,405,222,335,217,118,4456,810,3646,1055,325,730
Urban,State - PUNJAB,Christian,30-34,8620,4581,4039,4884,3888,996,537,341,196,267,159,108,3199,352,2847,527,112,415
Urban,State - PUNJAB,Christian,35-39,7958,3986,3972,4533,3491,1042,465,264,201,206,135,71,2960,231,2729,411,55,356
Urban,State - PUNJAB,Christian,40-49,12786,6605,6181,7552,5806,1746,668,402,266,264,157,107,4566,397,4169,469,78,391
Urban,State - PUNJAB,Christian,50-59,8030,4173,3857,4585,3456,1129,382,247,135,146,94,52,3063,470,2593,192,47,145
Urban,State - PUNJAB,Christian,60-69,4894,2475,2419,1537,1205,332,206,129,77,78,53,25,3151,1141,2010,150,77,73
Urban,State - PUNJAB,Christian,70-79,1788,889,899,367,283,84,59,40,19,16,11,5,1362,566,796,25,10,15
Urban,State - PUNJAB,Christian,80+,801,403,398,113,86,27,30,18,12,7,3,4,658,299,359,10,4,6
Urban,State - PUNJAB,Christian,Age not stated,104,54,50,32,21,11,7,4,3,0,0,0,65,29,36,3,1,2
Urban,State - PUNJAB,Christian,15-59,70341,36576,33765,32280,25231,7049,4036,2577,1459,2029,1343,686,34025,8768,25257,6083,2405,3678
Urban,State - PUNJAB,Christian,60+,7483,3767,3716,2017,1574,443,295,187,108,101,67,34,5171,2006,3165,185,91,94
Urban,State - PUNJAB,Sikh,Total,3656299,1921638,1734661,1131151,954197,176954,136104,82889,53215,58993,38194,20799,2389044,884552,1504492,214952,94551,120401
Urban,State - PUNJAB,Sikh,5-9,273260,152415,120845,2768,1704,1064,5103,2854,2249,1195,696,499,265389,147857,117532,2986,1705,1281
Urban,State - PUNJAB,Sikh,10-14,311303,177538,133765,7006,5221,1785,7888,4638,3250,2455,1538,917,296409,167679,128730,6738,4142,2596
Urban,State - PUNJAB,Sikh,15-19,360779,201806,158973,39297,33201,6096,15833,10440,5393,8784,6046,2738,305649,158165,147484,49525,30594,18931
Urban,State - PUNJAB,Sikh,20-24,373074,197016,176058,109328,93199,16129,21287,14012,7275,12512,8473,4039,242459,89805,152654,63203,32182,31021
Urban,State - PUNJAB,Sikh,25-29,331213,169715,161498,154556,128998,25558,17328,10776,6552,8976,5769,3207,159329,29941,129388,35434,12435,22999
Urban,State - PUNJAB,Sikh,30-34,280140,141627,138513,145544,121736,23808,13182,7793,5389,5923,3625,2298,121414,12098,109316,16699,3945,12754
Urban,State - PUNJAB,Sikh,35-39,268157,133067,135090,142345,118136,24209,11867,6698,5169,4949,2954,1995,113945,8233,105712,12030,2004,10026
Urban,State - PUNJAB,Sikh,40-49,478898,237772,241126,254668,213015,41653,19562,10880,8682,7313,4417,2896,204668,13877,190791,14641,2540,12101
Urban,State - PUNJAB,Sikh,50-59,347488,178497,168991,175930,150253,25677,11973,7141,4832,3673,2481,1192,159585,21103,138482,6924,1983,4941
Urban,State - PUNJAB,Sikh,60-69,236609,120674,115935,71349,63496,7853,7934,4996,2938,2237,1515,722,157326,52182,105144,5025,2184,2841
Urban,State - PUNJAB,Sikh,70-79,101365,53521,47844,20978,18818,2160,2866,1875,991,651,469,182,77521,32828,44693,1181,566,615
Urban,State - PUNJAB,Sikh,80+,45801,23133,22668,6274,5496,778,1073,656,417,246,162,84,38454,16981,21473,400,196,204
Urban,State - PUNJAB,Sikh,Age not stated,4281,2265,2016,1108,924,184,208,130,78,79,49,30,2965,1211,1754,166,75,91
Urban,State - PUNJAB,Sikh,15-59,2439749,1259500,1180249,1021668,858538,163130,111032,67740,43292,52130,33765,18365,1307049,333222,973827,198456,85683,112773
Urban,State - PUNJAB,Sikh,60+,383775,197328,186447,98601,87810,10791,11873,7527,4346,3134,2146,988,273301,101991,171310,6606,2946,3660
Urban,State - PUNJAB,Buddhist,Total,9660,5086,4574,2999,2478,521,508,305,203,193,138,55,6153,2303,3850,436,221,215
Urban,State - PUNJAB,Buddhist,5-9,834,419,415,10,5,5,30,15,15,4,2,2,794,399,395,1,1,0
Urban,State - PUNJAB,Buddhist,10-14,928,504,424,26,18,8,26,13,13,3,3,0,876,473,403,15,12,3
Urban,State - PUNJAB,Buddhist,15-19,928,502,426,130,96,34,66,46,20,31,24,7,732,360,372,107,65,42
Urban,State - PUNJAB,Buddhist,20-24,1041,571,470,324,287,37,83,52,31,44,26,18,634,232,402,132,66,66
Urban,State - PUNJAB,Buddhist,25-29,964,500,464,423,348,75,69,45,24,37,27,10,472,107,365,81,42,39
Urban,State - PUNJAB,Buddhist,30-34,794,426,368,420,353,67,51,31,20,22,18,4,323,42,281,33,9,24
Urban,State - PUNJAB,Buddhist,35-39,736,384,352,413,338,75,34,19,15,12,9,3,289,27,262,19,6,13
Urban,State - PUNJAB,Buddhist,40-49,1161,604,557,668,536,132,71,40,31,26,19,7,422,28,394,21,4,17
Urban,State - PUNJAB,Buddhist,50-59,798,423,375,406,347,59,47,25,22,5,4,1,345,51,294,17,10,7
Urban,State - PUNJAB,Buddhist,60-69,428,226,202,124,104,20,13,9,4,2,1,1,291,113,178,6,4,2
Urban,State - PUNJAB,Buddhist,70-79,198,93,105,37,30,7,15,9,6,7,5,2,146,54,92,3,1,2
Urban,State - PUNJAB,Buddhist,80+,100,42,58,18,16,2,3,1,2,0,0,0,79,25,54,1,1,0
Urban,State - PUNJAB,Buddhist,Age not stated,6,2,4,0,0,0,0,0,0,0,0,0,6,2,4,0,0,0
Urban,State - PUNJAB,Buddhist,15-59,6422,3410,3012,2784,2305,479,421,258,163,177,127,50,3217,847,2370,410,202,208
Urban,State - PUNJAB,Buddhist,60+,726,361,365,179,150,29,31,19,12,9,6,3,516,192,324,10,6,4
Urban,State - PUNJAB,Jain,Total,40674,21232,19442,13719,12111,1608,870,494,376,243,138,105,26085,8627,17458,1417,560,857
Urban,State - PUNJAB,Jain,5-9,2987,1667,1320,32,21,11,43,25,18,12,7,5,2912,1621,1291,15,6,9
Urban,State - PUNJAB,Jain,10-14,3096,1752,1344,55,40,15,38,24,14,10,4,6,3003,1688,1315,24,11,13
Urban,State - PUNJAB,Jain,15-19,3215,1775,1440,160,134,26,82,49,33,35,25,10,2973,1592,1381,303,216,87
Urban,State - PUNJAB,Jain,20-24,3401,1867,1534,1000,856,144,108,65,43,59,35,24,2293,946,1347,427,206,221
Urban,State - PUNJAB,Jain,25-29,3585,1858,1727,1819,1587,232,101,62,39,41,26,15,1665,209,1456,251,47,204
Urban,State - PUNJAB,Jain,30-34,3333,1686,1647,1773,1547,226,76,33,43,22,9,13,1484,106,1378,113,23,90
Urban,State - PUNJAB,Jain,35-39,3022,1486,1536,1614,1383,231,82,44,38,21,9,12,1326,59,1267,75,7,68
Urban,State - PUNJAB,Jain,40-49,5414,2711,2703,2919,2544,375,123,74,49,16,8,8,2372,93,2279,88,18,70
Urban,State - PUNJAB,Jain,50-59,4869,2456,2413,2499,2265,234,109,56,53,17,8,9,2261,135,2126,56,11,45
Urban,State - PUNJAB,Jain,60-69,3148,1590,1558,1245,1166,79,72,44,28,8,6,2,1831,380,1451,50,11,39
Urban,State - PUNJAB,Jain,70-79,1493,748,745,467,441,26,30,14,16,2,1,1,996,293,703,8,2,6
Urban,State - PUNJAB,Jain,80+,561,270,291,118,110,8,6,4,2,0,0,0,437,156,281,3,1,2
Urban,State - PUNJAB,Jain,Age not stated,45,27,18,18,17,1,0,0,0,0,0,0,27,10,17,4,1,3
Urban,State - PUNJAB,Jain,15-59,26839,13839,13000,11784,10316,1468,681,383,298,211,120,91,14374,3140,11234,1313,528,785
Urban,State - PUNJAB,Jain,60+,5202,2608,2594,1830,1717,113,108,62,46,10,7,3,3264,829,2435,61,14,47
Urban,State - PUNJAB,Other religious communities,Total,4240,2268,1972,1243,992,251,324,196,128,145,97,48,2673,1080,1593,186,97,89
Urban,State - PUNJAB,Other religious communities,5-9,436,247,189,6,3,3,26,14,12,1,0,1,404,230,174,1,1,0
Urban,State - PUNJAB,Other religious communities,10-14,448,260,188,16,12,4,25,21,4,6,4,2,407,227,180,5,4,1
Urban,State - PUNJAB,Other religious communities,15-19,419,237,182,77,61,16,37,25,12,23,16,7,305,151,154,49,31,18
Urban,State - PUNJAB,Other religious communities,20-24,375,204,171,119,108,11,40,23,17,23,14,9,216,73,143,50,27,23
Urban,State - PUNJAB,Other religious communities,25-29,408,200,208,171,136,35,43,28,15,22,15,7,194,36,158,48,21,27
Urban,State - PUNJAB,Other religious communities,30-34,335,170,165,171,133,38,31,17,14,19,14,5,133,20,113,6,1,5
Urban,State - PUNJAB,Other religious communities,35-39,292,145,147,147,119,28,29,14,15,18,11,7,116,12,104,4,1,3
Urban,State - PUNJAB,Other religious communities,40-49,515,265,250,285,220,65,45,24,21,15,10,5,185,21,164,6,2,4
Urban,State - PUNJAB,Other religious communities,50-59,320,166,154,175,138,37,20,13,7,9,7,2,125,15,110,6,3,3
Urban,State - PUNJAB,Other religious communities,60-69,206,105,101,52,43,9,17,11,6,3,2,1,137,51,86,8,4,4
Urban,State - PUNJAB,Other religious communities,70-79,79,37,42,16,13,3,7,4,3,5,3,2,56,20,36,2,1,1
Urban,State - PUNJAB,Other religious communities,80+,44,22,22,7,5,2,4,2,2,1,1,0,33,15,18,0,0,0
Urban,State - PUNJAB,Other religious communities,Age not stated,6,6,0,1,1,0,0,0,0,0,0,0,5,5,0,1,1,0
Urban,State - PUNJAB,Other religious communities,15-59,2664,1387,1277,1145,915,230,245,144,101,129,87,42,1274,328,946,169,86,83
Urban,State - PUNJAB,Other religious communities,60+,329,164,165,75,61,14,28,17,11,9,6,3,226,86,140,10,5,5
Total,State - CHANDIGARH,All religious communities,Total,1055450,580663,474787,385929,317190,68739,18207,10969,7238,8086,5209,2877,651314,252504,398810,48576,19660,28916
Total,State - CHANDIGARH,All religious communities,5-9,91194,49255,41939,908,556,352,458,239,219,177,96,81,89828,48460,41368,745,415,330
Total,State - CHANDIGARH,All religious communities,10-14,93464,52140,41324,2227,1450,777,729,416,313,273,163,110,90508,50274,40234,1464,887,577
Total,State - CHANDIGARH,All religious communities,15-19,104418,60521,43897,15878,13513,2365,2212,1530,682,1106,781,325,86328,45478,40850,9923,5694,4229
Total,State - CHANDIGARH,All religious communities,20-24,121244,68467,52777,45785,38912,6873,3827,2515,1312,2193,1442,751,71632,27040,44592,16501,7909,8592
Total,State - CHANDIGARH,All religious communities,25-29,110237,60694,49543,63682,52444,11238,2984,1826,1158,1525,961,564,43571,6424,37147,9441,2774,6667
Total,State - CHANDIGARH,All religious communities,30-34,90803,49625,41178,56741,46784,9957,2061,1139,922,880,548,332,32001,1702,30299,4034,696,3338
Total,State - CHANDIGARH,All religious communities,35-39,83672,45566,38106,53827,43802,10025,1716,850,866,678,400,278,28129,914,27215,2818,299,2519
Total,State - CHANDIGARH,All religious communities,40-49,129273,70161,59112,83401,67280,16121,2298,1241,1057,796,498,298,43574,1640,41934,2266,338,1928
Total,State - CHANDIGARH,All religious communities,50-59,81867,45853,36014,50525,41322,9203,1082,647,435,274,186,88,30260,3884,26376,772,274,498
Total,State - CHANDIGARH,All religious communities,60-69,41640,21780,19860,9887,8506,1381,594,403,191,151,113,38,31159,12871,18288,476,300,176
Total,State - CHANDIGARH,All religious communities,70-79,17807,9253,8554,2231,1958,273,174,113,61,21,13,8,15402,7182,8220,90,53,37
Total,State - CHANDIGARH,All religious communities,80+,7631,3800,3831,721,577,144,61,44,17,8,6,2,6849,3179,3670,35,14,21
Total,State - CHANDIGARH,All religious communities,Age not stated,346,201,145,116,86,30,11,6,5,4,2,2,219,109,110,11,7,4
Total,State - CHANDIGARH,All religious communities,15-59,721514,400887,320627,369839,304057,65782,16180,9748,6432,7452,4816,2636,335495,87082,248413,45755,17984,27771
Total,State - CHANDIGARH,All religious communities,60+,67078,34833,32245,12839,11041,1798,829,560,269,180,132,48,53410,23232,30178,601,367,234
Total,State - CHANDIGARH,Hindu,Total,852574,472769,379805,316286,261606,54680,14839,8933,5906,6650,4275,2375,521449,202230,319219,38751,15473,23278
Total,State - CHANDIGARH,Hindu,5-9,76382,41180,35202,763,463,300,380,196,184,147,80,67,75239,40521,34718,612,343,269
Total,State - CHANDIGARH,Hindu,10-14,77169,42947,34222,1917,1227,690,617,340,277,226,125,101,74635,41380,33255,1215,735,480
Total,State - CHANDIGARH,Hindu,15-19,84521,49124,35397,13533,11467,2066,1803,1244,559,900,631,269,69185,36413,32772,8009,4580,3429
Total,State - CHANDIGARH,Hindu,20-24,98050,55895,42155,38501,32947,5554,3092,2067,1025,1788,1200,588,56457,20881,35576,13017,6229,6788
Total,State - CHANDIGARH,Hindu,25-29,91096,50586,40510,53306,44278,9028,2470,1516,954,1254,783,471,35320,4792,30528,7505,2111,5394
Total,State - CHANDIGARH,Hindu,30-34,75241,41477,33764,47462,39294,8168,1705,944,761,735,455,280,26074,1239,24835,3264,514,2750
Total,State - CHANDIGARH,Hindu,35-39,68706,37824,30882,44482,36443,8039,1424,706,718,565,331,234,22800,675,22125,2269,216,2053
Total,State - CHANDIGARH,Hindu,40-49,103315,57088,46227,67445,54877,12568,1881,1003,878,655,408,247,33989,1208,32781,1800,249,1551
Total,State - CHANDIGARH,Hindu,50-59,62596,35778,26818,39377,32472,6905,853,505,348,232,156,76,22366,2801,19565,586,207,379
Total,State - CHANDIGARH,Hindu,60-69,29969,15811,14158,7363,6318,1045,444,295,149,123,90,33,22162,9198,12964,375,233,142
Total,State - CHANDIGARH,Hindu,70-79,11981,6243,5738,1550,1354,196,121,85,36,16,11,5,10310,4804,5506,67,41,26
Total,State - CHANDIGARH,Hindu,80+,4856,2360,2496,492,396,96,41,27,14,6,4,2,4323,1937,2386,26,11,15
Total,State - CHANDIGARH,Hindu,Age not stated,270,158,112,95,70,25,8,5,3,3,1,2,167,83,84,6,4,2
Total,State - CHANDIGARH,Hindu,15-59,583525,327772,255753,304106,251778,52328,13228,7985,5243,6129,3964,2165,266191,68009,198182,36450,14106,22344
Total,State - CHANDIGARH,Hindu,60+,46806,24414,22392,9405,8068,1337,606,407,199,145,105,40,36795,15939,20856,468,285,183
Total,State - CHANDIGARH,Muslim,Total,51447,29889,21558,18124,16789,1335,1095,808,287,540,415,125,32228,12292,19936,2030,943,1087
Total,State - CHANDIGARH,Muslim,5-9,5749,3074,2675,47,31,16,27,14,13,7,4,3,5675,3029,2646,41,25,16
Total,State - CHANDIGARH,Muslim,10-14,5588,3007,2581,166,134,32,40,31,9,16,14,2,5382,2842,2540,90,55,35
Total,State - CHANDIGARH,Muslim,15-19,6132,3751,2381,1644,1525,119,187,145,42,100,76,24,4301,2081,2220,625,415,210
Total,State - CHANDIGARH,Muslim,20-24,6730,4294,2436,3421,3225,196,244,194,50,123,97,26,3065,875,2190,618,316,302
Total,State - CHANDIGARH,Muslim,25-29,5712,3427,2285,3338,3116,222,156,114,42,90,69,21,2218,197,2021,316,82,234
Total,State - CHANDIGARH,Muslim,30-34,4335,2579,1756,2624,2441,183,124,77,47,68,50,18,1587,61,1526,118,21,97
Total,State - CHANDIGARH,Muslim,35-39,3716,2219,1497,2310,2124,186,102,63,39,52,37,15,1304,32,1272,105,11,94
Total,State - CHANDIGARH,Muslim,40-49,4652,2773,1879,2853,2611,242,128,99,29,56,46,10,1671,63,1608,81,7,74
Total,State - CHANDIGARH,Muslim,50-59,1933,1179,754,1161,1072,89,47,37,10,16,13,3,725,70,655,14,3,11
Total,State - CHANDIGARH,Muslim,60-69,1213,670,543,433,396,37,32,29,3,8,7,1,748,245,503,17,5,12
Total,State - CHANDIGARH,Muslim,70-79,339,204,135,97,87,10,7,4,3,3,1,2,235,113,122,3,1,2
Total,State - CHANDIGARH,Muslim,80+,138,68,70,26,23,3,1,1,0,1,1,0,111,44,67,1,1,0
Total,State - CHANDIGARH,Muslim,Age not stated,14,9,5,4,4,0,0,0,0,0,0,0,10,5,5,1,1,0
Total,State - CHANDIGARH,Muslim,15-59,33210,20222,12988,17351,16114,1237,988,729,259,505,388,117,14871,3379,11492,1877,855,1022
Total,State - CHANDIGARH,Muslim,60+,1690,942,748,556,506,50,40,34,6,12,9,3,1094,402,692,21,7,14
Total,State - CHANDIGARH,Christian,Total,8720,4463,4257,3605,2331,1274,118,57,61,41,23,18,4997,2075,2922,440,194,246
Total,State - CHANDIGARH,Christian,5-9,666,374,292,6,4,2,2,0,2,1,0,1,658,370,288,4,2,2
Total,State - CHANDIGARH,Christian,10-14,733,418,315,8,6,2,2,0,2,0,0,0,723,412,311,7,5,2
Total,State - CHANDIGARH,Christian,15-19,813,442,371,94,57,37,21,14,7,8,6,2,698,371,327,70,34,36
Total,State - CHANDIGARH,Christian,20-24,998,494,504,379,231,148,23,14,9,10,6,4,596,249,347,149,75,74
Total,State - CHANDIGARH,Christian,25-29,895,420,475,533,333,200,16,6,10,6,2,4,346,81,265,95,44,51
Total,State - CHANDIGARH,Christian,30-34,737,393,344,520,373,147,11,2,9,1,0,1,206,18,188,36,6,30
Total,State - CHANDIGARH,Christian,35-39,713,346,367,521,326,195,9,2,7,4,0,4,183,18,165,28,9,19
Total,State - CHANDIGARH,Christian,40-49,1276,616,660,939,583,356,17,8,9,7,5,2,320,25,295,29,7,22
Total,State - CHANDIGARH,Christian,50-59,734,382,352,493,336,157,8,4,4,0,0,0,233,42,191,18,8,10
Total,State - CHANDIGARH,Christian,60-69,324,156,168,91,66,25,7,5,2,3,3,0,226,85,141,3,3,0
Total,State - CHANDIGARH,Christian,70-79,130,51,79,11,8,3,2,2,0,1,1,0,117,41,76,1,1,0
Total,State - CHANDIGARH,Christian,80+,53,26,27,10,8,2,0,0,0,0,0,0,43,18,25,0,0,0
Total,State - CHANDIGARH,Christian,Age not stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,State - CHANDIGARH,Christian,15-59,6166,3093,3073,3479,2239,1240,105,50,55,36,19,17,2582,804,1778,425,183,242
Total,State - CHANDIGARH,Christian,60+,507,233,274,112,82,30,9,7,2,4,4,0,386,144,242,4,4,0
Total,State - CHANDIGARH,Sikh,Total,138329,71300,67029,46546,35410,11136,2085,1138,947,822,481,341,89698,34752,54946,7103,2959,4144
Total,State - CHANDIGARH,Sikh,5-9,8095,4473,3622,90,56,34,47,28,19,21,12,9,7958,4389,3569,81,42,39
